approach,species,n,positives,prevalence,log_loss,auc,brier,f1,sensitivity,specificity,n_train,positives_train,prevalence_train
single_species,Cacophis kreftii,128,4,0.03125,0.1085638845870755,0.875,0.028842318073937768,0.0,0.0,1.0,513,16,0.031189083820662766
single_species,Calyptotis scutirostrum,128,10,0.078125,0.18220617839582107,0.9033898305084745,0.052290375350440774,0.3076923076923077,0.2,0.9915254237288136,513,40,0.07797270955165692
single_species,Coeranoscincus reticulatus,128,21,0.1640625,0.3052422580671468,0.8878504672897196,0.09623649931656603,0.375,0.2857142857142857,0.9532710280373832,513,83,0.1617933723196881
single_species,Egernia mcpheei,128,2,0.015625,0.07019477773366087,0.861111111111111,0.015068627613124564,0.0,0.0,1.0,513,10,0.01949317738791423
single_species,Eulamprus murrayi,129,1,0.007751937984496124,0.04736464757816867,0.1328125,0.0077104016940439364,0.0,0.0,1.0,512,2,0.00390625
single_species,Ophioscincus truncatus,128,23,0.1796875,0.4052863894813601,0.74824016563147,0.12622787184979303,0.3125,0.21739130434782608,0.9619047619047619,513,91,0.17738791423001948
single_species,Pseudechis porphyricaus,128,3,0.0234375,0.09774341691846997,0.9013333333333334,0.02220848597255555,0.0,0.0,1.0,513,11,0.021442495126705652
single_species,Saltuarius swaini,129,2,0.015503875968992248,0.07961432956900114,0.7637795275590551,0.015256642968865107,0.0,0.0,1.0,512,6,0.01171875
multi_species,Cacophis kreftii,128,4,0.03125,0.11071224405591895,0.8991935483870968,0.027675148419556272,0.0,0.0,1.0,513,16,0.031189083820662766
multi_species,Calyptotis scutirostrum,128,10,0.078125,0.22561965050318722,0.8177966101694916,0.06343943702414087,0.0,0.0,1.0,513,40,0.07797270955165692
multi_species,Coeranoscincus reticulatus,128,21,0.1640625,0.3841318005015893,0.7734757454383623,0.1234930760504315,0.08695652173913043,0.047619047619047616,0.9906542056074766,513,83,0.1617933723196881
multi_species,Egernia mcpheei,128,2,0.015625,0.07883876135273317,0.6825396825396826,0.01561687995564329,0.0,0.0,1.0,513,10,0.01949317738791423
multi_species,Eulamprus murrayi,129,1,0.007751937984496124,0.03747209098108377,0.9375,0.007516512113413111,0.0,0.0,1.0,512,2,0.00390625
multi_species,Ophioscincus truncatus,128,23,0.1796875,0.4426954708161295,0.6699792960662526,0.13392682515549018,0.16,0.08695652173913043,1.0,513,91,0.17738791423001948
multi_species,Pseudechis porphyricaus,128,3,0.0234375,0.10766175192605511,0.7146666666666667,0.02320350131801637,0.0,0.0,1.0,513,11,0.021442495126705652
multi_species,Saltuarius swaini,129,2,0.015503875968992248,0.11043341427492272,0.09448818897637795,0.016063189541753394,0.0,0.0,1.0,512,6,0.01171875
multi_interactions,Cacophis kreftii,128,4,0.03125,0.11016495341693497,0.9012096774193549,0.028096146664511285,0.0,0.0,1.0,513,16,0.031189083820662766
multi_interactions,Calyptotis scutirostrum,128,10,0.078125,0.1932633239802705,0.8830508474576272,0.05606978264616795,0.375,0.3,0.9745762711864406,513,40,0.07797270955165692
multi_interactions,Coeranoscincus reticulatus,128,21,0.1640625,0.2974527098318116,0.8891855807743658,0.09534127860100906,0.36363636363636365,0.2857142857142857,0.9439252336448598,513,83,0.1617933723196881
multi_interactions,Egernia mcpheei,128,2,0.015625,0.07630723084280086,0.7738095238095237,0.015695307996736803,0.0,0.0,1.0,513,10,0.01949317738791423
multi_interactions,Eulamprus murrayi,129,1,0.007751937984496124,0.040723432554457734,0.8828125,0.007634671780692654,0.0,0.0,1.0,512,2,0.00390625
multi_interactions,Ophioscincus truncatus,128,23,0.1796875,0.4065154830424448,0.7362318840579709,0.12540506971717336,0.3448275862068966,0.21739130434782608,0.9904761904761905,513,91,0.17738791423001948
multi_interactions,Pseudechis porphyricaus,128,3,0.0234375,0.08725556249719776,0.9386666666666666,0.021244248781210395,0.0,0.0,1.0,513,11,0.021442495126705652
multi_interactions,Saltuarius swaini,129,2,0.015503875968992248,0.09561570155973746,0.06299212598425197,0.015602452855735534,0.0,0.0,1.0,512,6,0.01171875
