approach,species,n,positives,prevalence,log_loss,brier,auc,f1,sensitivity,specificity
single_species,Cacophis kreftii,128,4,0.03125,0.1085638845870755,0.028842318073937764,0.875,0.0,0.0,1.0
multi_species,Cacophis kreftii,128,4,0.03125,0.11071224405591926,0.027675148419556303,0.8991935483870968,0.0,0.0,1.0
multi_species_interactions,Cacophis kreftii,128,4,0.03125,0.1148565083167274,0.028558302616266365,0.8669354838709677,0.0,0.0,1.0
single_species,Calyptotis scutirostrum,128,10,0.078125,0.18220617839582104,0.05229037535044077,0.9033898305084745,0.3076923076923077,0.2,0.9915254237288136
multi_species_interactions,Calyptotis scutirostrum,128,10,0.078125,0.18633569190797783,0.05388506261205006,0.8906779661016949,0.47058823529411764,0.4,0.9745762711864406
multi_species,Calyptotis scutirostrum,128,10,0.078125,0.22561965050318722,0.0634394370241409,0.8177966101694916,0.0,0.0,1.0
multi_species_interactions,Coeranoscincus reticulatus,128,21,0.1640625,0.2934282884746623,0.09329407198898683,0.9020916777926125,0.47058823529411764,0.38095238095238093,0.9532710280373832
single_species,Coeranoscincus reticulatus,128,21,0.1640625,0.30524225806714683,0.096236499316566,0.8878504672897196,0.375,0.2857142857142857,0.9532710280373832
multi_species,Coeranoscincus reticulatus,128,21,0.1640625,0.38413180050158896,0.12349307605043133,0.7734757454383623,0.08695652173913043,0.047619047619047616,0.9906542056074766
single_species,Egernia mcpheei,128,2,0.015625,0.07127803588491236,0.015117854357985993,0.861111111111111,0.0,0.0,1.0
multi_species_interactions,Egernia mcpheei,128,2,0.015625,0.07726609252844013,0.01581094598723229,0.7698412698412698,0.0,0.0,1.0
multi_species,Egernia mcpheei,128,2,0.015625,0.07883876135273361,0.01561687995564333,0.6825396825396826,0.0,0.0,1.0
multi_species,Eulamprus murrayi,129,1,0.007751937984496124,0.037472090981083686,0.0075165121134131135,0.9375,0.0,0.0,1.0
multi_species_interactions,Eulamprus murrayi,129,1,0.007751937984496124,0.04099852823323647,0.007645331086588865,0.8671875,0.0,0.0,1.0
single_species,Eulamprus murrayi,129,1,0.007751937984496124,0.04736464757816867,0.0077104016940439364,0.1328125,0.0,0.0,1.0
multi_species_interactions,Ophioscincus truncatus,128,23,0.1796875,0.4029225037526303,0.12418482016702098,0.7440993788819876,0.3225806451612903,0.21739130434782608,0.9714285714285714
single_species,Ophioscincus truncatus,128,23,0.1796875,0.4052863894813601,0.12622787184979303,0.74824016563147,0.3125,0.21739130434782608,0.9619047619047619
multi_species,Ophioscincus truncatus,128,23,0.1796875,0.4426954708161301,0.13392682515549043,0.6699792960662526,0.16,0.08695652173913043,1.0
multi_species_interactions,Pseudechis porphyricaus,128,3,0.0234375,0.08931641079531424,0.021507366379941148,0.9199999999999999,0.0,0.0,1.0
single_species,Pseudechis porphyricaus,128,3,0.0234375,0.09235341384680001,0.021794236633594765,0.9146666666666667,0.0,0.0,1.0
multi_species,Pseudechis porphyricaus,128,3,0.0234375,0.10766175192605495,0.02320350131801637,0.7146666666666667,0.0,0.0,1.0
single_species,Saltuarius swaini,129,2,0.015503875968992248,0.07961432956900115,0.01525664296886511,0.7637795275590551,0.0,0.0,1.0
multi_species_interactions,Saltuarius swaini,129,2,0.015503875968992248,0.09579921336084934,0.015607858006723383,0.07480314960629919,0.0,0.0,1.0
multi_species,Saltuarius swaini,129,2,0.015503875968992248,0.1104334142749224,0.016063189541753432,0.09448818897637795,0.0,0.0,1.0
