feature,coefficient,odds_ratio,absolute_coefficient
northing,0.7447759331070205,2.105969504067169,0.7447759331070205
sp_Eulamprus murrayi,-0.7223542613026526,0.4856076618252893,0.7223542613026526
sp_Ophioscincus truncatus,0.6909025424657173,1.9955157584440375,0.6909025424657173
sp_Coeranoscincus reticulatus,0.5668457287432797,1.7626982448796182,0.5668457287432797
easting,-0.4466129521290049,0.6397914902928622,0.4466129521290049
soilfert,0.31386849148591534,1.368709727728782,0.31386849148591534
sp_Saltuarius swaini,-0.29520773805359274,0.7443769359871456,0.29520773805359274
soildepth,-0.28397238301436195,0.7527874341388813,0.28397238301436195
sp_Egernia mcpheei,-0.24321858974229543,0.7841000987989314,0.24321858974229543
sp_Calyptotis scutirostrum,0.19028036291053627,1.209588673923999,0.19028036291053627
disturb,-0.15943176987694685,0.852628140334761,0.15943176987694685
tempann,0.14913705296705748,1.160832073787298,0.14913705296705748
sp_Pseudechis porphyricaus,-0.09869019355524881,0.9060233564228772,0.09869019355524881
sp_Cacophis kreftii,-0.0894084979719872,0.9144719373329846,0.0894084979719872
rainann,0.0772026807382398,1.0802610023032568,0.0772026807382398
topo,-0.07267292012452758,0.9299049334798655,0.07267292012452758
