mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_logloss,split1_test_logloss,split2_test_logloss,split3_test_logloss,split4_test_logloss,mean_test_logloss,std_test_logloss,rank_test_logloss,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.013752079010009766,0.0007944591405558287,0.009242725372314454,0.0005987736945874265,0.01,,"{'C': 0.01, 'class_weight': None}",-0.2317492601333535,-0.22443023672418438,-0.2245958361864763,-0.22225963944897578,-0.22838202198542404,-0.2262833566024764,0.0033693800664790444,5,0.8002650795238572,0.845853756126838,0.8560068020406122,0.8601011618589743,0.7994025735294117,0.8323351557751122,0.026930147553858818,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.015856218338012696,0.0007976962258771236,0.007786750793457031,0.0007378724311110407,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",-0.546863051944838,-0.5322745252681949,-0.5296656308833751,-0.5342655245717327,-0.5416539272795895,-0.5369428889414811,0.006365676300805398,10,0.8057917375212564,0.8469290787236171,0.8581074322296689,0.8573968349358974,0.8053002450980392,0.8347138706436686,0.02413309734888407,9,0.2809364548494983,0.292358803986711,0.3010033444816053,0.2857142857142857,0.2754098360655738,0.2870905712694649,0.008916077896733548,5
0.017412996292114256,0.0014363747013785109,0.008658075332641601,0.0024624581459689256,0.1,,"{'C': 0.1, 'class_weight': None}",-0.20372529138709627,-0.18683349856150358,-0.183874589369254,-0.18311787062129412,-0.19450725089230791,-0.1904114814261871,0.0077830357639776405,4,0.797514254276283,0.8526808042412723,0.8666099829948984,0.8602263621794872,0.8072406045751632,0.8368631426660075,0.028659873275053243,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.015536022186279298,0.0013556426518132204,0.006171894073486328,0.0004304264684640143,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",-0.5160415841774513,-0.49952225588585014,-0.49116869437924465,-0.5017234411017159,-0.505323394522146,-0.5027548738650354,0.008113080165676703,9,0.8048914674402321,0.8506551965589677,0.8633590077023107,0.8598006810897436,0.8097681781045751,0.8377031333076981,0.0251836069391047,6,0.2877697841726619,0.3211678832116788,0.31316725978647686,0.3003412969283276,0.28975265017667845,0.3024464722533324,0.013012435308915802,4
0.016616296768188477,0.0012403186511830413,0.006457471847534179,0.0014804531940495961,1,,"{'C': 1, 'class_weight': None}",-0.20638815253380377,-0.18413862742945267,-0.1785791443802235,-0.1798965853428659,-0.193804902082006,-0.18856103819412723,0.010390465359731897,1,0.7946884065219566,0.8552065619685905,0.8697359207762327,0.8583984375,0.8099979575163399,0.8376138483773546,0.02959519469682282,7,0.034482758620689655,0.0,0.0,0.0,0.0,0.00690159552110829,0.013796884855467482,6
0.019747495651245117,0.00284903355839407,0.006799077987670899,0.0019237062080808547,1,balanced,"{'C': 1, 'class_weight': 'balanced'}",-0.5123024253302525,-0.49528717768185354,-0.4855446206372353,-0.49740515763563015,-0.5003186242189813,-0.49817074112936893,0.008635953251607207,8,0.8042412723817145,0.8509302790837252,0.8643092927878364,0.8607271634615384,0.8102022058823529,0.8380901155017183,0.025644160830053064,3,0.2888086642599278,0.3247232472324723,0.3142857142857142,0.303448275862069,0.29818181818181816,0.30589389713838067,0.012511988661533177,3
0.01878390312194824,0.0008728798028000398,0.005991792678833008,0.0016358466938448265,10,,"{'C': 10, 'class_weight': None}",-0.20726317434176125,-0.18431158544679863,-0.17803836808765183,-0.17997488907480946,-0.19413229113429872,-0.18874357227369679,0.01080194087303935,2,0.7945883765129538,0.8556566970091027,0.8705111533460037,0.8578475560897436,0.8103043300653595,0.8377901278829343,0.029715103095784248,4,0.034482758620689655,0.0,0.0,0.0,0.0,0.00690159552110829,0.013796884855467482,6
0.014681386947631835,0.002163730141125378,0.004708290100097656,0.0003718174852869078,10,balanced,"{'C': 10, 'class_weight': 'balanced'}",-0.5119327456861849,-0.4948551945604039,-0.48494827409924723,-0.4969604112309148,-0.4998051352428826,-0.4976995063264755,0.008700738225659022,7,0.8040162048614584,0.8510303090927278,0.8643593077923377,0.8608774038461537,0.8102532679738562,0.8381153284442542,0.025739458532354455,2,0.2888086642599278,0.3247232472324723,0.3154121863799283,0.303448275862069,0.29818181818181816,0.306119356326423,0.012670320693062644,1
0.012069416046142579,0.0008983704238467292,0.00402379035949707,6.890783655736193e-05,100,,"{'C': 100, 'class_weight': None}",-0.20736353643489114,-0.1843524794386205,-0.17798419350671862,-0.1800054459767146,-0.1941738956351648,-0.1887754164132801,0.010842988182353191,3,0.7944633390017004,0.8555316594978494,0.8705611683505051,0.8578225160256411,0.8103553921568627,0.837755276036419,0.029734751910692806,5,0.034482758620689655,0.0,0.0,0.0,0.0,0.00690159552110829,0.013796884855467482,6
0.010234642028808593,0.0011612181964074663,0.0031072139739990235,0.00024415881305239306,100,balanced,"{'C': 100, 'class_weight': 'balanced'}",-0.5118958879082997,-0.4948118891472786,-0.484888262857662,-0.49691580328506174,-0.49975370739101255,-0.49765226567912246,0.008707380129531005,6,0.8040412123637091,0.8510303090927278,0.8643593077923377,0.860927483974359,0.810202205882353,0.838120149753746,0.02575273503977961,1,0.2888086642599278,0.3247232472324723,0.3154121863799283,0.303448275862069,0.29818181818181816,0.306119356326423,0.012670320693062644,1
