model,approach,mean_log_loss,mean_auc,mean_brier,mean_f1_at_opt,mean_sensitivity_at_opt,mean_specificity_at_opt
LogisticRegression,single,0.4458474557164519,0.7581390636917333,0.14657493251382583,0.22996138083228249,0.39118788819875777,0.8719484236868216
LogisticRegression,multi,0.5197273813929806,0.6688342011865072,0.17304431236524057,0.20569362134784955,0.5754917184265009,0.6661972451236087
RandomForest,single,0.17216265383655782,0.7905446088320909,0.04824847656890251,0.25626789769921987,0.24126552795031056,0.9675832121147405
RandomForest,multi,0.17673838885570908,0.7905456512418105,0.05086382654936104,0.22732558139534884,0.19623447204968944,0.9736067424488144
MLP,single,0.37610851550029245,0.7711127811943406,0.05938258425273323,0.21448412698412697,0.19667443064182194,0.9647017222212078
MLP,multi,0.2671518129243219,0.7213000772271418,0.05695645516547819,0.20872802235246013,0.2493659420289855,0.9341812500072366
XGBoost,single,0.20079125213889176,0.7839906139047186,0.05593225150369108,0.24913838812301167,0.257324016563147,0.9606412776336032
XGBoost,multi,0.2947796137171813,0.7470588767649828,0.0908711968222633,0.17991407089151448,0.20613354037267081,0.9448934038288825
GAM,single,0.17755261358816893,0.765015674289617,0.046495362703590136,0.23896807492480177,0.27331780538302275,0.9423435319433953
GAM,multi,0.19344593801061208,0.6575273234358645,0.0519941999007708,0.19751608259070946,0.5047230848861284,0.7477886396399027
