model,species,log_loss_single_mean,log_loss_single_std,log_loss_multi_mean,log_loss_multi_std,diff_mean (single - multi)
LogisticRegression,Cacophis kreftii,0.3585969945537745,0.051970084528861676,0.3252905486319717,0.02495326322871037,0.03330644592180276
LogisticRegression,Calyptotis scutirostrum,0.3593482559407387,0.03744921681314937,0.5756587411922851,0.03800807864046527,-0.2163104852515464
LogisticRegression,Coeranoscincus reticulatus,0.5476839730796351,0.06840492449677761,1.0114988573119654,0.0951436923762127,-0.4638148842323303
LogisticRegression,Egernia mcpheei,0.5038916018685463,0.07498537742580821,0.23585978711089695,0.01759646976941372,0.26803181475764937
LogisticRegression,Eulamprus murrayi,0.36200059383960614,0.13833525899526106,0.0891236326465988,0.006682336709725062,0.27287696119300736
LogisticRegression,Ophioscincus truncatus,0.6244412777087213,0.033446207565864264,1.2088343447052161,0.08702010476988548,-0.5843930669964948
LogisticRegression,Pseudechis porphyricaus,0.49919271535746507,0.08078403951668675,0.3519614447935637,0.028925979892001557,0.14723127056390134
LogisticRegression,Saltuarius swaini,0.4717432034146949,0.0746642456747662,0.23622422642490634,0.0175414835249204,0.23551897698978855
LogisticRegression,__overall__,0.46586232697039776,0.029062531008441347,0.5043064478521755,0.020159240718690283,-0.03844412088177773
MLP,Cacophis kreftii,0.24050213026028755,0.0974023387159032,0.1871300063488464,0.07990039161966798,0.05337212391144114
MLP,Calyptotis scutirostrum,0.31555484675609063,0.11439691603716616,0.2903489779812489,0.13993826373060625,0.02520586877484171
MLP,Coeranoscincus reticulatus,0.8275784741127479,0.240679194623559,0.432341768694959,0.09344722014064731,0.3952367054177889
MLP,Egernia mcpheei,0.14805584606844213,0.07472300315366058,0.1685668123976891,0.07350545037350623,-0.020510966329246955
MLP,Eulamprus murrayi,0.0521039867247637,0.049095924851984,0.0731563364967636,0.06234073206871898,-0.021052349771999906
MLP,Ophioscincus truncatus,1.1316706083774508,0.23392826451220192,0.5789508302697043,0.10949766856078236,0.5527197781077465
MLP,Pseudechis porphyricaus,0.20512870650277906,0.0941070388369135,0.18238743041044597,0.11005414926572635,0.02274127609233309
MLP,Saltuarius swaini,0.15247093742172638,0.08227658469932984,0.16437858201335775,0.07328549198691554,-0.011907644591631378
MLP,__overall__,0.38413319202803603,0.04954074081146444,0.2596575930766269,0.03868725366815344,0.12447559895140914
RandomForest,Cacophis kreftii,0.09589267023117083,0.01990181898337135,0.11336342934035884,0.018622922800559685,-0.017470759109188008
RandomForest,Calyptotis scutirostrum,0.16996524276552716,0.025925132617192773,0.17635435053036466,0.024355298536310317,-0.006389107764837504
RandomForest,Coeranoscincus reticulatus,0.2833776672325556,0.03530166368117414,0.29907319561360024,0.03565251803069181,-0.015695528381044654
RandomForest,Egernia mcpheei,0.10925297721956444,0.045332149945197416,0.11120184049755619,0.03259955243654068,-0.0019488632779917497
RandomForest,Eulamprus murrayi,0.08061511868501113,0.06339685134059886,0.04798665953341577,0.027466129401303552,0.03262845915159536
RandomForest,Ophioscincus truncatus,0.3766980667618153,0.03468381143034596,0.3899677791634123,0.0344531750709948,-0.013269712401597022
RandomForest,Pseudechis porphyricaus,0.1260413467575115,0.06067988615663708,0.11859054397920214,0.04585562624175623,0.007450802778309354
RandomForest,Saltuarius swaini,0.09985910918789376,0.05192941837570085,0.0917994829185463,0.03427639951009346,0.008059626269347461
RandomForest,__overall__,0.1677127748551312,0.01574774406098766,0.16854216019705706,0.011431327442203923,-0.0008293853419258645
XGBoost,Cacophis kreftii,0.1253037642774855,0.035936456197567745,0.15739739335978428,0.024521586981999854,-0.03209362908229879
XGBoost,Calyptotis scutirostrum,0.22305700181271973,0.052049915146277013,0.28910271520470027,0.042382313437598934,-0.06604571339198054
XGBoost,Coeranoscincus reticulatus,0.33295105252698526,0.06324245202019793,0.48606451772713893,0.06994356903307683,-0.15311346520015368
XGBoost,Egernia mcpheei,0.12471516067463301,0.048113183655386776,0.14588580213404118,0.021374009352154673,-0.021170641459408168
XGBoost,Eulamprus murrayi,0.044526356376030515,0.03654823209279266,0.04439619570714481,0.015027686134950514,0.00013016066888570793
XGBoost,Ophioscincus truncatus,0.43392022070536085,0.09551583649407726,0.634094154182426,0.05651505486736122,-0.20017393347706514
XGBoost,Pseudechis porphyricaus,0.14835864711631042,0.06620572555912586,0.1631669142332438,0.02750743833139636,-0.014808267116933393
XGBoost,Saltuarius swaini,0.09368590882195574,0.04697378774341808,0.1098321221172329,0.024579350433443534,-0.016146213295277156
XGBoost,__overall__,0.19081476403893513,0.018990553460201374,0.253742476833214,0.013668525134026638,-0.06292771279427886
