max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,mean_logloss,std_logloss,mean_auc,mean_best_iter
6,0.01,1,0.8,0.7,2.0,0.5,0.18172202037954235,0.009394713295262104,0.9111952025405415,1848
6,0.03,1,0.8,0.8,1.0,1.0,0.18437306642442458,0.010823223523746414,0.9098745037880238,608
6,0.01,3,0.8,0.8,1.0,0.5,0.1847679147372415,0.00861576272803371,0.9106802464299338,1722
6,0.01,3,0.8,1.0,2.0,0.0,0.18628324290685225,0.01036344046802484,0.9095149171283248,1744
6,0.1,3,0.8,1.0,2.0,0.5,0.18745824584058723,0.010032351860768474,0.9074650531648466,201
6,0.03,3,0.7,0.8,5.0,0.0,0.18905813530644966,0.009685578205315739,0.9069922271105352,741
6,0.05,5,0.8,0.7,5.0,0.0,0.19165539589661296,0.013785341675056725,0.9081825432280418,467
5,0.1,1,0.7,1.0,2.0,1.0,0.1926249732864092,0.012298474857012754,0.9093087400791315,245
5,0.01,1,0.8,0.8,5.0,1.0,0.19396437460558963,0.008870787908893294,0.9105534758619989,2693
5,0.01,3,0.7,0.8,1.0,1.0,0.19446204484129587,0.008799420314813055,0.910176039178175,2199
5,0.05,3,0.7,0.8,5.0,0.5,0.194767869944598,0.008790526637490652,0.908586047015085,579
5,0.1,3,0.7,1.0,5.0,0.0,0.19743032598921187,0.009329216910651587,0.903543991736124,283
4,0.1,1,0.8,1.0,1.0,0.0,0.19808070071202388,0.0120684605642518,0.9058942962453687,353
4,0.1,1,0.7,1.0,2.0,0.5,0.19993342035203904,0.009360133800372544,0.9069199949629496,374
5,0.1,5,0.7,0.8,2.0,0.5,0.20034321051241158,0.010405226757209585,0.9058467003949223,278
5,0.01,5,0.7,0.8,2.0,1.0,0.20095016293286677,0.009270838529583365,0.9073423405698179,2402
4,0.05,3,0.7,1.0,5.0,0.0,0.20334473686855553,0.010705326551820599,0.9065113904575786,777
4,0.05,5,0.8,1.0,5.0,0.5,0.2068296203927776,0.010806412769961691,0.9058928313451144,759
5,0.05,1,1.0,0.8,5.0,0.5,0.2085751847387111,0.011242715967656716,0.9119339551099399,1538
3,0.1,1,0.8,1.0,2.0,1.0,0.20942871226521548,0.009261876292595912,0.9079634598100018,628
6,0.01,1,1.0,0.8,5.0,1.0,0.21489392585581726,0.009046085966013912,0.9111792127558612,3000
3,0.05,1,0.7,0.8,1.0,0.5,0.21501144273001044,0.007676838583247581,0.9063190878219348,1036
3,0.05,5,1.0,0.7,5.0,0.0,0.21669173652458418,0.011007399380439811,0.9045375599505834,1597
6,0.03,3,1.0,1.0,2.0,1.0,0.21692915278190134,0.01035114312159842,0.9092348285061499,2510
3,0.03,3,0.8,0.8,2.0,0.5,0.21902354449556424,0.011645348806641507,0.9082353581687252,1735
3,0.03,3,0.7,1.0,1.0,1.0,0.22331409399634833,0.006065077691992775,0.9076862370138737,1403
4,0.03,5,1.0,0.7,5.0,0.5,0.22736048125698516,0.00925482671304814,0.9108549005418538,2853
3,0.03,3,0.7,0.7,5.0,1.0,0.23377284020469852,0.009101716867154918,0.9079282876468333,1408
4,0.1,5,1.0,1.0,2.0,1.0,0.24087432406187675,0.011395762374745067,0.9106449432531966,841
4,0.05,5,1.0,1.0,1.0,1.0,0.24269626130748048,0.008421796277415742,0.9109290906144393,1713
